intent_hash,action_hash,tool_id,payload_size,is_high_risk,is_forbidden,harmful_signal,injection_signal,label
0.477,0.76,0.0,0.138,0,0,0,0,1
0.004,0.498,0.3,0.056,0,0,0,0,1
0.122,0.529,0.2,0.056,0,0,0,0,1
0.291,0.941,0.0,0.14,0,0,0,0,1
0.133,0.11,0.6,0.056,0,0,0,0,1
0.492,0.529,0.2,0.056,0,0,0,0,1
0.783,0.498,0.3,0.056,0,0,0,0,1
0.856,0.11,0.6,0.056,0,0,0,0,1
0.81,0.529,0.2,0.056,0,0,0,0,1
0.698,0.11,0.6,0.056,0,0,0,0,1
0.189,0.498,0.3,0.056,0,0,0,0,1
0.962,0.498,0.3,0.056,0,0,0,0,1
0.361,0.11,0.6,0.056,0,0,0,0,1
0.316,0.322,0.0,0.14,0,0,0,0,1
0.482,0.529,0.2,0.056,0,0,0,0,1
0.96,0.529,0.2,0.056,0,0,0,0,1
0.196,0.363,0.0,0.14,0,0,0,0,1
0.226,0.11,0.6,0.056,0,0,0,0,1
0.775,0.215,0.0,0.138,0,0,0,0,1
0.65,0.801,0.0,0.14,0,0,0,0,1
0.279,0.498,0.3,0.056,0,0,0,0,0
0.597,0.807,0.0,0.14,0,0,0,0,1
0.992,0.498,0.3,0.056,0,0,0,0,1
0.198,0.11,0.6,0.056,0,0,0,0,1
0.54,0.529,0.2,0.056,0,0,0,0,1
0.058,0.529,0.2,0.056,0,0,0,0,1
0.587,0.11,0.6,0.056,0,0,0,0,1
0.252,0.529,0.2,0.056,0,0,0,0,1
0.089,0.498,0.3,0.056,0,0,0,0,1
0.451,0.11,0.6,0.056,0,0,0,0,1
0.487,0.498,0.3,0.056,0,0,0,0,1
0.33,0.498,0.3,0.056,0,0,0,0,1
0.054,0.11,0.6,0.056,0,0,0,0,1
0.742,0.814,0.0,0.14,0,0,0,0,1
0.022,0.498,0.3,0.056,0,0,0,0,1
0.428,0.237,0.0,0.14,0,0,0,0,1
0.985,0.498,0.3,0.056,0,0,0,0,1
0.79,0.529,0.2,0.056,0,0,0,0,1
0.87,0.11,0.6,0.056,0,0,0,0,1
0.272,0.11,0.6,0.056,0,0,0,0,1
0.133,0.11,0.6,0.056,0,0,0,0,1
0.058,0.11,0.6,0.056,0,0,0,0,1
0.117,0.452,0.0,0.138,0,0,0,0,1
0.888,0.11,0.6,0.056,0,0,0,0,1
0.57,0.529,0.2,0.056,0,0,0,0,1
0.282,0.11,0.6,0.056,0,0,0,0,1
0.073,0.529,0.2,0.056,0,0,0,0,1
0.749,0.529,0.2,0.056,0,0,0,0,1
0.504,0.046,0.0,0.142,0,0,0,0,1
0.747,0.11,0.6,0.056,0,0,0,0,1
0.88,0.11,0.6,0.056,0,0,0,0,1
0.746,0.11,0.6,0.056,0,0,0,0,1
0.274,0.575,0.0,0.136,0,0,0,0,1
0.516,0.809,0.0,0.14,0,0,0,0,1
0.32,0.498,0.3,0.056,0,0,0,0,1
0.38,0.498,0.3,0.056,0,0,0,0,1
0.296,0.498,0.3,0.056,0,0,0,0,1
0.402,0.498,0.3,0.056,0,0,0,0,1
0.72,0.529,0.2,0.056,0,0,0,0,1
0.491,0.019,0.0,0.14,0,0,0,0,1
0.0,0.529,0.2,0.056,0,0,0,0,1
0.133,0.11,0.6,0.056,0,0,0,0,1
0.332,0.002,0.0,0.14,0,0,0,0,1
0.77,0.498,0.3,0.056,0,0,0,0,1
0.976,0.511,0.0,0.14,0,0,0,0,1
0.38,0.11,0.6,0.056,0,0,0,0,1
0.701,0.283,0.0,0.14,0,0,0,0,1
0.241,0.11,0.6,0.056,0,0,0,0,1
0.245,0.225,0.0,0.14,0,0,0,0,1
0.523,0.498,0.3,0.056,0,0,0,0,1
0.482,0.11,0.6,0.056,0,0,0,0,1
0.056,0.352,0.0,0.14,0,0,0,0,1
0.12,0.156,0.0,0.14,0,0,0,0,1
0.882,0.11,0.6,0.056,0,0,0,0,1
0.478,0.11,0.6,0.056,0,0,0,0,1
0.146,0.107,0.0,0.14,0,0,0,0,1
0.851,0.11,0.6,0.056,0,0,0,0,1
0.653,0.498,0.3,0.056,0,0,0,0,1
0.861,0.529,0.2,0.056,0,0,0,0,1
0.382,0.498,0.3,0.056,0,0,0,0,1
0.765,0.498,0.3,0.056,0,0,0,0,1
0.606,0.11,0.6,0.056,0,0,0,0,1
0.29,0.498,0.3,0.056,0,0,0,0,1
0.369,0.913,0.0,0.14,0,0,0,0,1
0.871,0.529,0.2,0.056,0,0,0,0,1
0.209,0.435,0.0,0.14,0,0,0,0,0
0.608,0.757,0.0,0.14,0,0,0,0,1
0.185,0.498,0.3,0.056,0,0,0,0,1
0.735,0.498,0.3,0.056,0,0,0,0,1
0.519,0.726,0.0,0.138,0,0,0,0,0
0.323,0.11,0.6,0.056,0,0,0,0,1
0.409,0.529,0.2,0.056,0,0,0,0,1
0.152,0.498,0.3,0.056,0,0,0,0,1
0.283,0.529,0.2,0.056,0,0,0,0,1
0.671,0.11,0.6,0.056,0,0,0,0,1
0.415,0.018,0.0,0.138,0,0,0,0,1
0.588,0.11,0.6,0.056,0,0,0,0,1
0.547,0.529,0.2,0.056,0,0,0,0,1
0.801,0.498,0.3,0.056,0,0,0,0,1
0.759,0.641,0.0,0.14,0,0,0,0,1
0.566,0.146,0.0,0.138,0,0,0,0,1
0.888,0.286,0.0,0.14,0,0,0,0,1
0.848,0.498,0.3,0.056,0,0,0,0,0
0.725,0.498,0.3,0.056,0,0,0,0,1
0.845,0.341,0.0,0.14,0,0,0,0,1
0.535,0.864,0.0,0.14,0,0,0,0,1
0.29,0.529,0.2,0.056,0,0,0,0,1
0.476,0.772,0.0,0.14,0,0,0,0,1
0.329,0.11,0.6,0.056,0,0,0,0,1
0.194,0.974,0.0,0.14,0,0,0,0,1
0.269,0.529,0.2,0.056,0,0,0,0,0
0.705,0.11,0.6,0.056,0,0,0,0,1
0.887,0.498,0.3,0.056,0,0,0,0,1
0.592,0.529,0.2,0.056,0,0,0,0,1
0.611,0.498,0.3,0.056,0,0,0,0,1
0.226,0.11,0.6,0.056,0,0,0,0,1
0.497,0.11,0.6,0.056,0,0,0,0,1
0.209,0.045,0.0,0.14,0,0,0,0,1
0.369,0.498,0.3,0.056,0,0,0,0,1
0.073,0.498,0.3,0.056,0,0,0,0,1
0.673,0.529,0.2,0.056,0,0,0,0,1
0.512,0.529,0.2,0.056,0,0,0,0,1
0.381,0.209,0.0,0.14,0,0,0,0,1
0.13,0.11,0.6,0.056,0,0,0,0,1
0.561,0.11,0.6,0.056,0,0,0,0,1
0.367,0.498,0.3,0.056,0,0,0,0,1
0.066,0.529,0.2,0.056,0,0,0,0,1
0.469,0.498,0.3,0.056,0,0,0,0,1
0.817,0.498,0.3,0.056,0,0,0,0,1
0.208,0.11,0.6,0.056,0,0,0,0,1
0.883,0.11,0.6,0.056,0,0,0,0,1
0.935,0.11,0.6,0.056,0,0,0,0,1
0.317,0.498,0.3,0.056,0,0,0,0,1
0.637,0.11,0.6,0.056,0,0,0,0,1
0.115,0.11,0.6,0.056,0,0,0,0,1
0.593,0.529,0.2,0.056,0,0,0,0,1
0.545,0.529,0.2,0.056,0,0,0,0,1
0.713,0.498,0.3,0.056,0,0,0,0,1
0.85,0.498,0.3,0.056,0,0,0,0,1
0.784,0.875,0.0,0.14,0,0,0,0,1
0.223,0.529,0.2,0.056,0,0,0,0,1
0.381,0.498,0.3,0.056,0,0,0,0,1
0.742,0.53,0.0,0.14,0,0,0,0,1
